language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb_original_orthography	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal	verb_original_orthography	sentence_original_orthography
91	Nivkh	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y	ӄод 	qоd	LOC/ABL	SBJ	X	LOC/ABL_SBJ		Largun-ux coŋr̥ qо-d	PN-LOC/ABL head ache-IND	‘Largun has a headache.’	PN-LOC/ABL голова болеть-IND	‘У Ларгуна болит голова.’			Ларгунух тёӈр̆ ӄод
91	Nivkh	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом	ӄод 	qоd	SBJ	INS	Y	SBJ_INS		Largun gripp-ɣir̥ qо-d	PN flu-INS be.sick-IND	‘Largun has the flu.’	PN грипп-INS болеть-IND	‘Ларгун болеет гриппом.’			Ларгун гриппғир̆ ӄод
91	Nivkh	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а	к᾽луд 	kʰlud	SBJ	DO	TR	TR		Irgun qanŋ + xlu-d	PN dog + be.afraid-IND	‘Irgun is afraid of the dog.’	PN собака + бояться-IND	‘Иргун боится собаки.’			Иргун ӄанӈ хлуд
91	Nivkh	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)	пазд 	pazd	SBJ	DO	TR	TR		Kaskazik kоqvеlq paz-d	PN shell throw-IND	‘Kaskazik threw a shell.’	PN ракушка бросать-IND	‘Касказик бросил ракушку.’	С чередованием было бы kaskazik kоqvеlq + vaz-d. ЕГ: Этот глагол обычно используется как непереходный («бросаться») с дополнением в инструменталисе kоqvеlq­ɣiř		Касказик коӄвелӄ пазд
91	Nivkh	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)	вотид 	vоcid	SBJ	DO	TR	TR		Kaskazik Largun + bоci-d	PN PN + resemble-IND	‘Kaskazik resembles Largun.’	PN PN + быть_похожим-IND	‘Касказик похож на Ларгуна.’			Касказик Ларгун ботид
91	Nivkh	7	believe	X (believe) Y	верить	X (верить)Y-у	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	8	take	X (take) Y	взять	X (брать) Y(-а)	ғед 	ɣеd	SBJ	DO	TR	TR		Kaskazik pitɣəŋ ɣе-d	PN book take-IND	‘Kaskazik took a book.’	PN книга брать-IND	‘Касказик взял книгу.’			Касказик питғыӈ ғед
91	Nivkh	9	see	X (see) Y	видеть	X (видеть) Y(-а)	идыд 	idəd	SBJ	DO	TR	TR		Kaskazik taf idə-d	PN house see-IND	‘Kaskazik sees a house.’	PN дом видеть-IND	‘Касказик видит дом.’			Касказик таф идыд
91	Nivkh	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	11	encounter	X (encounter) Y	встречаться	X (встречаться) с Y-ом	ворд 	vord	SBJ	DO	TR	TR		Kaskazik Ajsana + оr-d	PN PN + encounter-IND	‘Kaskazik encountered Ajsana.’	PN PN + встретить-IND	‘Касказик встретился с Айсаной.’			Касказик Айсана орд
91	Nivkh	12	enter	X (enter) Y	входить 	X (входить) в Y (дом)	юғд 	juɣd	SBJ	DAT/ADD	Y	SBJ_DAT/ADD		Kaskazik taf-tоχ j-uɣ-d	PN house-DAT/ADD 3SG-enter-IND	‘Kaskzik entered the house.’	PN дом-DAT/ADD 3SG-входить-IND	‘Касказик вошел в дом.’	Arguably, the object prefix is a dummy prefix. Same verb as in 79.		Касказик тафтоӽ юғд
91	Nivkh	13	win	X (beat) Y	выиграть	X (выигрывать) у Y-а	к’ыд	kʰəd	SBJ	COMP	Y	SBJ_COMP		Kaskazik Ajsana-ak kʰə-d	PN PN-COMP be_skillful-IND	‘Kaskazik beat Ajsana.’	PN PN-COMP быть_умелым-IND	‘Касказик выиграл у Айсаны.’			Касказик Айсанаак  к’ыд
91	Nivkh	14	go_out	X (go out) of Y	выходить	X (выходить) из Y-а	п᾽уд 	pʰud	SBJ	LOC/ABL	Y	SBJ_LOC/ABL		Kaskazik tav-ux pʰu-d	PN house-LOC/ABL leave-IND	‘Kaskazik went out of the house.’	PN дом-LOC/ABL выходить-IND	‘Касказик вышел из дома.’			Касказик тавух п’уд
91	Nivkh	15	drive	X (drive) Y	гнать	X (гнать) Y-а	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	16	bend	X (bend) Y	гнуть	X (гнуть) Y	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	17	tell	X (tell) Y	говорить	X (говорить) Y-у	херд	xеrd	SBJ	DO	TR	TR		Kaskazik Ajsana + xеr-d ɲе-rχ pʰr̥ə-r̥ cʰma-ja	PN PN + tell-IND 1SG-DAT/ADD come-CVB_NAR visit-IMP.2SG	‘Kaskazik told Ajsana: “Come and visit me!”’	PN PN + говорить-IND 1SG-DAT/ADD приходить-CVB_NAR ходить_в_гости-IMP.2SG	‘Касказик сказал Айсане: “Приходи ко мне в гости”.’			Касказик Айсана херд: “Нерӽ п’р̆ыр̆ чмая”.
91	Nivkh	18	hold	X (hold)Y	держать	X (держать) Y(-а)	эвд 	evd	SBJ	DO	TR	TR		Kaskazik pitɣəŋ e-v-d	PN book 3SG-hold-IND	‘Kaskazik is holding a book.’	PN книга 3SG-держать-IND	‘Касказик держит книгу (в руках).’	С чередованием было бы pitɣəŋ + bo-d. Arguably, the object prefix is a dummy prefix.		Касказик питғыӈ эвд
91	Nivkh	19	catch_up	X (catch up) with Y	догнать	X (догонять) Y(-а)	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	20	milk	X (milk) Y	доить	X (доить) Y-а	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	21	reach	X (reach) Y	достичь	X (достичь) Y-а (берега) 	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	22	touch	X (touch) Y	дотронуться	X (дотрагиваться) до Y-а	эвд 	evd	SBJ	DO	TR	TR		Kaskazik patigur̥ stеnka tamk-ɣir̥ vо-d	PN quietly wall hand-INS hold-IND	‘Kaskazik touched the wall.’	PN тихо стенка рука-INS держать-IND	‘Касказик дотронулся до стены.’			Касказик патигур̆ стенка тамкғир̆ вод
91	Nivkh	23	fight	X (fight) with Y	драться	X (драться) с Y-ом	вад 	vad	SBJ	COM	Y	SBJ_COM		Kaskazik Irgun-ɣin va-d	PN PN-COM.SG fight-IND	‘Kaskazik is fighting with Irgun.’	PN PN-COM.SG драться-IND	‘Касказик дерётся с Иргуном.’	The original elicited translation had a plural marker on the verb (and a comitative NP as subject), but this alternative is also accepted.		Касказик Иргунғин вад
91	Nivkh	24	be_friends	X (be friends) with Y	дружить	X (дружить) с Y-ом	ӈафӄ муд	ŋafq mud	SBJ	COM	Y	SBJ_COM		Kaskazik Largun-ɣin ŋafq + mu-d	PN PN-COM.SG friend + become-IND	‘Kaskazik is friends with Largun.’	PN PN-COM.SG друг + становиться-IND	‘Касказик дружит с Ларгуном.’	The original elicited translation had a plural marker on the verb (and a comitative NP as subject), but this alternative is also accepted.		Касказик Ларгунғин ӈафӄ муд
91	Nivkh	25	think	X (think) about Y	думать	X (думать) об Y-е (об отце)	к᾽ымлыд	kʰəmləd	SBJ	DAT/ADD	Y	SBJ_DAT/ADD		Kaskazik Ajsana-rоχ kʰəmlə-d	PN PN-DAT/ADD think-IND	‘Kaskazik is thinking about Ajsana.’	PN PN-DAT/ADD думать-IND	‘Касказик думает об Айсане.’	Alternative is TR.		Касказик Айсанароӽ / Айсана к’ымлыд
91	Nivkh	26	eat	X (eat) Y	есть	X (есть) Y	ивд	ivd	SBJ	DO	TR	TR		Kaskazik alr̥ + ɲi-d	PN berry + eat-IND	‘Kaskazik ate a berry.’	PN ягода + есть-IND	‘Касказик съел ягоду.’			Касказик алр̆ нид
91	Nivkh	27	fry	X (fry) Y	жарить	X (жарить) Y	р̆ад	r̥ad	SBJ	DO	TR	TR		Kaskazik cʰо + r̥a-d	PN fish + fry-IND	‘Kaskazik fried the fish.’	PN рыба + жарить-IND	‘Касказик пожарил рыбу.’			Касказик чо р̆ад
91	Nivkh	28	wait	X (wait) for Y	ждать	X (ждать) Y-а (сына)	ӈармыд	ŋarməd	SBJ	DO	TR	TR		Kaskazik Ajsana + ŋarmə-d	PN PN + wait-IND	‘Kaskazik is waiting for Ajsana.’	PN PN + ждать-IND	‘Касказик ждёт Айсану.’			Касказик Айсана ӈармыд
91	Nivkh	29	forget	X (forget) (about) Y	забывать	X (забывать) об Y-е	тӽар̆пыд	tχar̥pəd	SBJ	INS	Y	SBJ_INS		Kaskazik hu cif-kir̥  tχar̥pə-d	PN CLOSE.DEM road-INS forget-IND	‘Kaskazik forgot about the other road.’	PN CLOSE.DEM дорога-INS забывать-IND	‘Касказик забыл о другой дороге.’	С чередованием в ИГ было бы hu + ɟif-kir̥.		Касказик ӿу тифкир̆ тӽар̆пыд
91	Nivkh	30	depend	X (depend) on Y	зависеть	X (зависеть) от Y-а	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	31	call	X (call) Y	звать	X (звать) Y-а	язд	jazd	SBJ	DO	TR	TR		Kaskazik Ajsana + azd	PN PN + call-IND	‘Kaskazik called Ajsana.’	PN PN + звать-IND	‘Касказик позвал Айсану.’			Касказик Айсана азд
91	Nivkh	32	get_to_know	X (get to know) Y	знакомиться	X (знакомиться) с Y-ом	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	33	know	X (know) Y	знать 	X (знать) Y-а	яймд	jajmd	SBJ	DO	TR	TR		Kaskazik Ajsana j-ajm-d	PN PN 3SG-know-IND	‘Kaskazik knows Ajsana.’	PN PN 3SG-знать-IND	‘Касказик знает Айсану.’	С чередованием было бы ajsana + hajm-. Arguably, the object prefix is a dummy prefix.		Касказик Айсана яймд
91	Nivkh	34	play#instrument#	X (play) Y	играть	X (играть) на Y-е	сеўд	sеwd	SBJ	INS	Y	SBJ_INS		Kaskazik gitara-ɣir̥ sеw-d	PN guitar-INS play-IND	‘Kaskazik is playing the guitar.’	PN гитара-INS играть-IND	‘Касказик играет на гитаре. ’			Касказик гитарағир̆  сеўд
91	Nivkh	35	avoid	X (avoid) Y	избегать	X (избегать) Y-а	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	36	make	X (make) Y	изготовить	X (изготовить) Y	ныд	nəd	SBJ	DO	TR	TR		Kaskazik bоmba + nə-d	PN bomb + make-IND	‘Kaskazik made a bomb.’	PN бомба + делать-IND	‘Касказик изготовил (сделал) бомбу.’			Касказик бомба ныд
91	Nivkh	37	make_fun	X (make fun) of Y	издеваться	X (издеваться) над Y-ом	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	38	have	X (have) Y	иметь	X (иметь) Y	ивд	ivd	SBJ	DO	TR	TR		Kaskazik tʰu + iv-d	PN narta + have-IND	‘Kaskazik has a narta.’	PN нарта + иметь-IND	‘У Касказика есть нарта.’			Касказик т’у ивд
91	Nivkh	39	look_for	X (look for) Y	искать	X (искать) Y(-а)	ӈанғд	ŋanɣt	SBJ	DO	TR	TR		Kaskazik pitɣəŋ + ŋanɣ-t	PN book + look.for-IND	‘Kaskazik is looking for the book.’	PN книга + искать-IND	‘Касказик ищет книгу.’			Касказик питғыӈ ӈанғт
91	Nivkh	40	paint	X (paint) Y	красить	X (красить) Y	йивуд	jivud	SBJ	DO	TR	TR		Kaskazik vazr̥ j-ivu-d	PN fence 3SG-paint-IND	‘Kaskazik painted the fence.’	PN забор 3SG-красить-IND	‘Касказик покрасил забор.’	С чередованием было бы vazr̥ + hivu-d.		Касказик вазр̆ йивуд
91	Nivkh	41	bite	X (bite) Y	кусать	X (кусать) Y-а	рукт	rukt	SBJ	DO	TR	TR		qanŋ Kaskazik + ruk-t	dog PN + bite-IND	‘A dog bit Kaskazik.’	собака PN + кусать-IND	‘Собака укусила Касказика.’			Ӄанӈ Касказик рукт
91	Nivkh	42	forfeit	X (lose) Y	лишаться	X (лишаться) Y-а	выкзд	vəkzd	SBJ	DO	TR	TR		Kaskazik taf + pəkz-d	PN house + lose-IND	‘Kaskazik lost his house.’	PN дом + терять-IND	‘Касказик лишился дома.’			Касказик таф пыкзд
91	Nivkh	43	try_to_catch	X (try to catch) Y	ловить	X (ловить) Y(-а)	поймд	pоjmd	SBJ	DO	TR	TR		Kaskazik kəsk pоjm-d	PN cat try.to.catch-IND	‘Kaskazik is trying to catch the cat.’	PN кошка ловить-IND	‘Касказик ловит кошку.’	Возможно, это русское заимствование		Касказик кыск поймд
91	Nivkh	44	break	X (break) Y	ломать	X (ломать) Y	зосӄт	zоsqt	SBJ	DO	TR	TR		Kaskazik cʰχar̥ zоsq-t	PN tree break-IND	‘Kaskazik broke a stick.’	PN дерево ломать-IND	‘Касказик сломал палку.’			Касказик чӽар̆ зосӄт
91	Nivkh	45	flatter	X (flatter) Y	льстить	X (льстить) Y-у	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	46	love1	X (love) Y	любить-1	X (любить) Y-а (сына)	маӻод	maʁod	SBJ	DO	TR	TR		Kaskazik Ajsana + maʁo-d	PN PN + love-IND	‘Kaskazik loves Ajsana.’	PN PN + любить-IND	‘Касказик любит Айсану.’			Касказик Айсана маӻод
91	Nivkh	47	wave	X (wave) Y	махать	X (махать) Y-ом	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	48	dream	X (dream) of Y	мечтать	X (мечтать) об Y-е	к᾽ымлыд	kʰəmləd	*	*	*		Not included in the database because this translation is semantically inaccurate.	Kaskazik cʰir + tʰu kʰəmlə-d	PN new + narta think-IND	‘Kaskazik is thinking of a new car.’	PN новый + нарта думать-IND	‘Касказик думает о новой машине.’	For some reason, the example obtained has the transitive patterns, while the same verb in 25 is observed in a different pattern. This verbs is actually rarely used with an overt second argument.		Касказик чир т’у к’ымлыд
91	Nivkh	49	wash	X (wash) Y	мыть	X (мыть) Y	зуд	zud	SBJ	DO	TR	TR		Kaskazik ŋirŋ + ɟu-d	PN cup + wash-IND	‘Kaskazik washed the cup.’	PN чашка + мыть-IND	‘Касказик вымыл чашку.’			Касказик ӈирӈ дюд
91	Nivkh	50	put_on	X (put_on) Y	надевать	X (надевать) Y	хизд	xizd	SBJ	DO	TR	TR		Kaskazik var̥ xiz-d	PN trousers put.on-IND	‘Kaskazik put on his trousers.’	PN штаны надевать-IND	‘Касказик надел штаны.’	С чередованием было бы var̥ + khiz-d.		Касказик вар̆  хизд
91	Nivkh	51	be_called	X (be_called) Y	называться	X (называться) Y	ӽаўд	χawd	SBJ	DO	TR	TR		tu + prеdmеt kоmpas χaw-d	PROX.DEM + thing compass call-IND	‘This instrument is called a compass.’	PROX.DEM + предмет компас называть-IND	‘Этот предмет называется компас.’ 	Interrogative is "Чи нуд ӽаўд?", where the interrogative pronoun looks like a direct object		Ту предмет компас ӽаўд
91	Nivkh	52	punish	X (punish) Y	наказывать	X (наказывать) Y-а	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	53	attack	X (attack) Y	напасть	X (нападать) на Y-а	волуд	vоlud	SBJ	DO	TR	TR		cʰxəf cʰо-ŋanʁ-nivŋ vоlu-d	bear fish-look.for-man fell-IND	‘A bear attacked a fisherman.’	медведь рыба-искать-человек повалить-IND	‘Медведь напал на рыбака.’	С чередованием было бы cʰо-ŋanʁ-nivŋ + bоlu-d. Дословно "повалил".		Чхыф чоӈанӻнивӈ волуд
91	Nivkh	54	fill#intr#	X (fill) with Y	наполняться	X (наполняться) Y-ом	саруд	sarud	SBJ	INS	Y	SBJ_INS		sindux cʰaχ-kir̥ saru-d	cask water-INS fill-IND	‘The cask filled with water.’	бочка вода-INS наполнять-IND	‘Бочка наполнилась водой.’	Arguably, the speaker erroneously used the transitive verb 'to fill' (expected intransitive would be cʰar-d).		Синдух чаӽкир̆ саруд
91	Nivkh	55	find	X (find) Y	находить	X (находить) Y(-а)	идыд	idəd	SBJ	DO	TR	TR		Kaskazik pitɣəŋ idə-d	PN book find-IND	‘Kaskazik found the book.’	PN книга находить-IND	‘Касказик нашел книгу.’	С чередованием было бы pitɣəŋ + ɲr̥ə-d. Same verb as 'to see'.		Касказик питғыӈ идыд
91	Nivkh	56	be_short	X (be short) Y	недоставать	X-у (недоставать) Y-a	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	57	hate	X (hate) Y	ненавидеть	X (ненавидеть) Y-а	рағрағд	raɣraɣd	SBJ	DO	TR	TR		Kaskazik Ajsana + raɣraɣ-d	PN PN + hate-IND	‘Kaskazik hates Ajsana.’	PN PN + ненавидеть-IND	‘Касказик ненавидит Айсану.’	Второй вариант глагола -- ŋalzaj-d, та же структура. 		Касказик Айсана рағрағд / ӈалзайд
91	Nivkh	58	like	X (like) Y	нравиться	X-у (нравиться) Y	маӻод	maʁod	SBJ	DO	TR	TR		Kaskazik tu + lar̥q + maʁo-d	PN DEM.PROX + shirt + like-IND	‘Kaskazik likes this shirt.’	PN DEM.PROX + рубашка + любить-IND	‘Касказику нравится эта рубашка.’	Same verb as 'to love (46) /like'.		Касказик ту лар̆ ӄ маӻод
91	Nivkh	59	need	X (need) Y	нуждаться	X (нуждаться) в Y-е	чиӈрд	cʰiŋrd	*	*	*		Not included in the database because this translation is semantically inaccurate.	Kaskazik cʰχa-ɣir̥ cʰiŋr-d	PN money-INS suffer-IND	‘Kaskazik is suffering about the money.’	PN деньги-INS мучиться-IND	‘Касказик мучается с деньгами.’	Информантка попыталась выкрутиться, но не вспомнила нужного глагола.		Касказик чӽағир̆ чиӈрд
91	Nivkh	60	surround	X (surround) Y	окружать	X (окружать) Y (стена город)	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	61	remain	X (have) Y left	оставаться	у X-а (оставаться) Y	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	62	answer	X (answer) Y	отвечать	X (отвечать) Y-у	итт	itt	SBJ	DAT/ADD	Y	SBJ_DAT/ADD		Kaskazik raw-r̥aŋɢ-rоχ it-t	PN teach-woman-DAT/ADD tell-IND	‘Kaskazik answered the teacher.’	PN учить-женщина-DAT/ADD говорить-IND	‘Касказик ответил учителю.’			Касказик раўр̆аӈӷроӽ итт
91	Nivkh	63	open	X (open) Y	открывать	X (открывать) Y	р̆ылғд	r̥əlɣd	SBJ	DO	TR	TR		Kaskazik qalŋ + r̥əlɣ-d	PN can + open-IND	‘Kaskazik opened a can.’	PN банка + открывать-IND	‘Касказик открыл банку.’			Касказик ӄалӈ р̆ылғд
91	Nivkh	64	be_different	X (be different) from Y	отличаться	X (отличаться) от Y-а	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	65	fall_behind	X (fall behind) Y	отстать	X (отставать) от Y-а	ярид	jarid	SBJ	DO	TR	TR		Kaskazik Ajsana + ari-d	PN PN + fall.behind-IND	‘Kaskazik fell behind Ajsana.’	PN PN + отставать-IND	‘Касказик отстал от Айсаны.’	Same verb as in 89.		Касказик Айсана арид
91	Nivkh	66	plough	X (plough) Y	пахать	X (пахать) Y	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	67	smell	X (smell) like / of Y	пахнуть	X (пахнуть) Y-ом	ноӻд	nоʁd	SBJ	INS	Y	SBJ_INS		ɲ-ramk-ɣun bеnzin-ɣir̥ nоʁ-d	1SG.POSS-hand-PL gasoline-INS smell-IND	‘My hands smell of gasoline.’	1SG.POSS-рука-PL бензин-INS пахнуть-IND	‘Мои руки пахнут бензином.’			Нь рамкғун бензинғир̆ ноӻд 
91	Nivkh	68	cross	X (cross) Y	пересечь	X (пересекать) Y (улицу) 	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
