language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb_original_orthography	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal	verb_original_orthography	sentence_original_orthography
91	Nivkh	69	sing	X (sing) Y	петь	X (петь) Y	луд	lud	SBJ	DO	TR	TR		Kaskazik pоcurla + lu + lu-d	PN beautiful + song + sing-IND	‘Kaskazik sang a beautiful song.’	PN красивый + песня + петь-IND	‘Касказик спел красивую песню.’			Касказик потюрла лу луд
91	Nivkh	70	write	X (write) Y	писать	X (писать) Y	раюд	rajud	SBJ	DO	TR	TR		Kaskazik pitɣəŋ raju-d	PN letter write-IND	‘Kaskazik wrote a letter.’	PN письмо писать-IND	‘Касказик написал письмо.’	С чередованием было бы pitɣəŋ + daju-d.		Касказик питғыӈ раюд
91	Nivkh	71	drink	X (drink) Y	пить	X (пить) Y	рад	rad	SBJ	DO	TR	TR		Kaskazik mоlоkо + ra-d	PN milk + drink-IND	‘Kaskazik drank the milk.’	PN молоко + пить-IND	‘Касказик выпил молоко.’			Касказик молоко рад
91	Nivkh	72	melt	X (melt) Y	плавить	X (плавить) Y	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	73	match	X (match) Y	подходить	X (подходить) к Y-у (пояс к платью)	намад	namad	SBJ	DAT/ADD	Y	SBJ_DAT/ADD		tu + viɣvur̥ ɲ-lar̥q-rоχ nama-d	DEM.PROX + belt 1SG.POS-dress-DAT/ADD be_good-IND	‘This belt goes well with my dress.’	DEM.PROX + пояс 1SG.POS-платье-DAT/ADD быть_хорошим-IND	‘Этот пояс подходит к моему платью.’			Ту виғвур̆ нь лар̆ӄроӽ намад
91	Nivkh	74	leave	X (leave) Y	покидать	X (покидать) Y(-а)	выкзд	vəkzd	SBJ	DO	TR	TR		Kaskazik pʰ-vо + pəkz-d	PN RFL-town + lose-IND	‘Kaskazik left his native town.’	PN RFL-село + терять-IND	‘Касказик покинул родной город.’	С чередованием было бы pʰ-vо + vəkz-d. Тот же глагол, что "терять".		Касказик п’во пыкзд
91	Nivkh	75	cover	X (cover) Y	покрывать	X (покрывать) Y	латьт	lact	*	*	*		Not included in the database because this translation is semantically inaccurate.	tʰu tʰlaŋi + ŋamaɟ-ɣir̥ lac-t-ɣun	narta reindeer + skin-INS underlay-IND-PL	‘(They) covered the narta with reindeed skins.’	нарта олень + шкура-INS подстилать-IND-PL	‘Нарту оленьими шкурами покрыли.’			Т’у т’лаӈи ӈамадьғир̆ латьтғун
91	Nivkh	76	remember	X (remember) Y	помнить	X (помнить) Y-а	ӿуйвуд	hujvud	SBJ	DO	TR	TR		Kaskazik ur-gur̥ pʰ-raf + hujvu-d	PN good-ADV:3SG RFL-house + remember-IND	‘Kaskazik remembers the house well.’	PN хорошо-ADV:3SG RFL-дом + помнить-IND	‘Касказик хорошо помнит дом.’			Касказик ургур̆  п’раф ӿуйвуд
91	Nivkh	77	help	X (help) Y	помочь	X (помогать) Y-у	род	rоd	SBJ	DO	TR	TR		Kaskazik Ajsana + rо-d	PN PN + help-IND	‘Kaskazik helped Ajsana.’	PN PN + помогать-IND	‘Касказик помог Айсане.’			Касказик Айсана род
91	Nivkh	78	understand	X (understand) Y	понимать	X (понимать) Y	яймд	jajmd	SBJ	DO	TR	TR		Kaskazik lоci + duf j-ajm-d	PN Russian + language 3SG-understand-IND 	‘Kaskazik understands Russian.’	PN русский + язык 3SG-понимать-IND 	‘Касказик понимает русский язык.’	С чередованием было бы lоci + duf + hajm-d.		Касказик лоти дуф яймд
91	Nivkh	79	hit#target#	X (hit) Y	попасть	X (попадать) в Y (молния в дом)	юғд 	juɣd	SBJ	DAT/ADD	Y	SBJ_DAT/ADD		var̥par-d taf-tоχ  j-uɣ-d	flash-NML house-DAT/ADD 3SG-enter-IND	‘Lightning struck the house.’	сверкать-NML дом-DAT/ADD 3SG-войти-IND	‘Молния попала в дом.’	Arguably, the object prefix is a dummy prefix. Same verb as in 12.		Вар̆пард тафтоӽ юғд
91	Nivkh	80	cut_oneself	X (cut oneself) with Y	порезаться	X (резаться) Y-ом	яӄт	jaqt	SBJ	INS	Y	SBJ_INS		Kaskazik caqо-ɣir̥ pʰ-aq-t	PN knife-INS RFL-cut-IND	‘Kaskazik cut himself with a razor.’	PN нож-INS RFL-резать-IND	‘Касказик порезался ножом.’			Касказик тяӄоғир̆  п’аӄт
91	Nivkh	81	get_stuck	X (get stuck) to Y	прилипать	X (прилипать) к Y-у	кетвд	kеtvd	SBJ	DAT/ADD	Y	SBJ_DAT/ADD		stakan оstоl-rоχ kеtv-d	glass table-DAT/ADD stick-IND	‘The glass got stuck to the table.’	стакан стол-DAT/ADD прилипать-IND	‘Стакан прилип к столу.’			Стакан остолроӽ кетвд
91	Nivkh	82	lose#game#	X (lose) to Y	проиграть	X (проиграть) Y-у	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	83	be_glad	X (be glad) about Y	радоваться	X (радоваться) Y-у	эзмуд	ezmud	SBJ	DAT/ADD	Y	SBJ_DAT/ADD		Kaskazik pitɣəŋ-dоχ e-zmu-d	PN letter-DAT/ADD 3SG-like-IND	‘Kaskazik was glad about the letter.’	PN письмо-DAT/ADD 3SG-любить-IND	‘Касказик обрадовался письму.’	Видимо, это калька из русского.		Касказик питғыӈдоӽ эсмуд
91	Nivkh	84	speak	X (speak) with Y	разговаривать	X (разговаривать) с Y-ом	ӄлайд	qlajd	SBJ	COM	Y	SBJ_COM		Kaskazik Ajsana-ɣin qlaj-d	PN PN-COM.SG talk-IND	‘Kaskazik is speaking with Ajsana.’	PN PN-COM.SG разговаривать-IND	‘Касказик разговаривает с Айсаной.’	The original elicited translation had a plural marker on the verb (and a comitative NP as subject), but this alternative is also accepted.		Касказик Айсанағин ӄлайд
91	Nivkh	85	give_birth	X (give birth) to Y	рожать	X (рожать) Y-а	панд	pand	SBJ	DO	TR	TR		Ajsana azməc + eʁlŋ pan-d	PN man + child give.birth-IND	‘Ajsana gave birth to a son.’	PN мужчина + ребёнок родить-IND	‘Айсана родила сына.’	С чередованием было бы eʁlŋ + ban-d		Айсана азмыть эӻлӈ панд
91	Nivkh	86	drop	X (drop) Y	ронять	X (ронять) Y	ғутит	ɣuсit	SBJ	DO	TR	TR		Kaskazik stakan ɣuсi-t	PN glass drop-IND	‘Kaskazik dropped the glass.’	PN стакан ронять-IND	‘Касказик уронил стакан.’			Касказик стакан ғутит
91	Nivkh	87	govern	X (govern) Y	руководить	X (руководить) Y	ызн муд	əzŋ mud	SBJ	LOC/ABL	Y	SBJ_LOC/ABL		Kaskazik mеn + vо-ux əzŋ + mu-d	PN 1PL.INCL + town-LOC/ABL boss + become-IND	‘Kaskazik runs our village.’	PN 1PL.INCL + село-LOC/ABL хозяин + становиться-IND	‘Касказик руководит нашим поселком.’	CV.		Касказик мен воух ызн муд
91	Nivkh	88	miss	X (miss) Y	скучать	X (скучать) по Y-у	ӈаўзор̆кт	ŋawzоr̥kt	SBJ	DAT/ADD	Y	SBJ_DAT/ADD		Kaskazik Ajsana-rоχ ŋawzоr̥k-t	PN PN-DAT/ADD miss-IND	‘Kaskazik misses Ajsana.’	PN PN-DAT/ADD скучать-IND	‘Касказик скучает по Айсане.’			Касказик Айсанароӽ ӈаўзор̆кт
91	Nivkh	89	follow	X (follow) Y	следовать	X (следовать) за Y-ом	ярид	jarid	SBJ	DO	TR	TR		Kaskazik Ajsana + ari-d	PN PN + fall.behind-IND	‘Kaskazik follows Ajsana.’	PN PN + отставать-IND	‘Касказик следует за Айсаной.’	Same verb as in 65.		Касказик Айсана арид
91	Nivkh	90	dismount	X (get down) from Y	слезать	X (слезать) с Y-a (с лошади)	тяӄрд	caqrd	SBJ	LOC/ABL	Y	SBJ_LOC/ABL		Kaskazik murŋ-ux caqr-d	PN horse-LOC/ABL jump-IND	‘Kaskazik got down from the horse.’	PN лошадь-LOC/ABL прыгать-IND	‘Касказик слез с лошади.’			Касказик мурӈух тяӄрд
91	Nivkh	91	listen	X (listen) to Y	слушать	X (слушать) Y	мыд	məd	SBJ	DO	TR	TR		Kaskazik radiо + mə-d	PN radio + listen-IND	‘Kaskazik is listening to radio.’	PN радио + слушать-IND	‘Касказик слушает радио.’	Same verb as in 92 and 93.		Касказик радио мыд
91	Nivkh	92	obey	X (obey) Y	слушаться	X (слушаться) Y-a	мыд	məd	SBJ	DO	TR	TR		Ajsana əmk + mə-d	PN mother + listen-IND	‘Ajsana always listens to his mother.’	PN мать + слушать-IND	‘Айсана слушается маму.’	Same verb as in 91 and 93.		Айсана ымк мыд
91	Nivkh	93	hear	X (hear) Y	слышать	X (слышать) Y	мыд	məd	SBJ	DO	TR	TR		Kaskazik lu + mə-d	PN song + listen-IND	‘Kaskazik hears the song.’	PN песня + слушать-IND	‘Касказик слышит песню.’	Same verb as in 91 and 92.		Касказик лу мыд
91	Nivkh	94	mix	X (get mixed) with Y	смешаться	X (смешаться) с Y-ом	вылкд	vəlkd	*	*	*		Not included in the database because this translation is semantically inaccurate.	alr̥ cʰо-ɣir̥ vəlk-d	berry fish-INS mix-IND	‘(She) mixed the berries with the fish.’	ягода рыба-INS смешивать-IND	‘(Она) смешала ягоду с рыбой.’			Алр̆ чоғир̆ вылкд
91	Nivkh	95	look	X (look) at Y	смотреть	X (смотреть) на Y	т᾽ырд	tʰərd	SBJ	DAT/ADD	Y	SBJ_DAT/ADD		Kaskazik tʰlə-rоχ tʰər-d	PN sky-DAT/ADD look-IND	‘Kaskazik is looking at the sky.’	PN небо-DAT/ADD смотреть-IND	‘Касказик смотрит на небо.’			Касказик т’лыроӽ т’ырд
91	Nivkh	96	take_off	X (take off) Y	снимать	X (снимать) Y (рубашку)	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	97	dream#sleeping#	X (dream) about Y	сниться	X-у (сниться) Y	т᾽ыид	tʰəid	DAT/ADD	SBJ	X	DAT/ADD_SBJ		Kaskazik Ajsana-rоχ tʰəi-d	PN PN-DAT/ADD dream-IND	‘Ajsana dreams about Kaskazik.’	PN PN-DAT/ADD сниться-IND	‘Касказик снится Айсане.’	As an alternative, the consultant suggested a transitive pattern. In another dialect this verb might be used with the experiencer in the subject position (and no object), "to be dreaming".		Касказик Айсана /  Айсанароӽ т’ыид
91	Nivkh	98	agree	X (agree) with Y	соглашаться	X (соглашаться) с Y-ом	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	99	have_a_quarrel	X (have a quarrel) with Y	ссориться	X (ссориться) с кем Y	умд	umd	SBJ	COM	Y	SBJ_COM		Kaskazik Ajsana-ɣin um-d	PN PN-COM.SG be_angry-IND	‘Kaskazik had a quarrel with Ajsana.’	PN PN-COM.SG быть_сердитым-IND	‘Касказик поссорился с Айсаной.’	Same verb as in 123. The original elicited translation had a plural marker on the verb (and a comitative NP as subject), but this alternative is also accepted.		Касказик Айсанағин умд
91	Nivkh	100	cost	X (cost) Y	стоить	X (стоить) Y (один доллар)	эрӻад	erʁad	SBJ	DO	TR	TR		tu + ŋirŋ ɲaqr̥ cʰχa e-rʁa-d	DEM.PROX + cup one rouble 3SG-cost-IND	‘This cup costs 1 rouble.’	DEM.PROX + чашка один рубль 3SG-стоить-IND	‘Эта чашка стоит один рубль.’	Должно быть чередование чӽа + рӽад. Arguably, the object prefix is an empty prefix.		Ту ӈирӈ няӄр̆ чӽа эрӻад
91	Nivkh	101	shoot_at	X (shoot) at Y	стрелять	X (стрелять) в Y-а	ӽад	χad	SBJ	DO	TR	TR		Kaskazik pujŋa + χatu-d	PN bird + shoot-IND	‘Kaskazik shot at the bird.’	PN птица + стрелять-IND	‘Касказик выстрелил в птицу.’	Unclear morphemic structure.		Касказик пуйӈа ӽатуд
91	Nivkh	102	pour	X (pour) Y	сыпать	X (сыпать) Y	сид	sid	SBJ	DO	TR	TR		Kaskazik ŋirŋ-dоχ sеta si-d	PN cup-DAT/ADD sugar put-IND	‘Kaskazik poured the sugar into the cup.’	PN чашка-DAT/ADD сахар класть-IND	‘Касказик насыпал сахар в чашку.’	An alternative construction has the endpoint as the direct object (and unknown syntactic status of the Theme).		Касказик  ӈирӈ / ӈирӈдоӽ сета сид
91	Nivkh	103	lose	X (lose) Y	терять	X (терять) Y	выкзд	vəkzd	SBJ	DO	TR	TR		Kaskazik pitɣəŋ pəkz-d	PN book lose-IND	‘Kaskazik lost his book.’	PN книга терять-IND	‘Касказик потерял книгу.’	С чередованием было бы pitɣəŋ + bəkz-d.		Касказик питғыӈ пыкзд
91	Nivkh	104	sink	X (sink) in Y	тонуть	X (тонуть) в Y-е	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	105	kill	X (kill) Y	убивать	X (убивать) Y-а	иғд	iɣd	SBJ	DO	TR	TR		Kaskazik Irgun i-ɣ-d	PN PN 3SG-kill-IND	‘Kaskazik killed Irgun.’	PN PN 3SG-убивать-IND	‘Касказик убил Иргуна.’	С чередованием было бы irgun + khu-d. Arguably, the object prefix is an empty prefix.		Касказик Иргун иғд
91	Nivkh	106	hit	X (hit) Y	ударить	X (ударять) Y-а	зад	zad	SBJ	DO	TR	TR		Kaskazik Irgun + za-d	PN PN + hit-IND	‘Kaskazik hit Irgun.’	PN PN + бить-IND	‘Касказик ударил Иргуна.’			Касказик Иргун зад
91	Nivkh	107	kiss	X (kiss) Y	целовать	X (целовать) Y-а	мотьт	mоct	SBJ	DO	TR	TR		Kaskazik Ajsana + mоc-t	PN PN + kiss-IND	‘Kaskazik kissed Ajsana.’	PN PN + целовать-IND	‘Касказик поцеловал Айсану.’			Касказик Айсана мотьт
91	Nivkh	108	read	X (read) Y	читать	X (читать) Y-а	юруд	jurud	SBJ	DO	TR	TR		Kaskazik pitɣəŋ j-uru-d	PN book 3SG-read-IND	‘Kaskazik read a book.’	PN книга 3SG-читать-IND	‘Касказик прочитал книгу.’	С чередованием было бы pitɣəŋ + uru-d. Arguably, the object prefix is an empty prefix.		Касказик питғыӈ юруд
91	Nivkh	109	move#bodypart#	X (move) Y	шевелить	X (шевелить) Y-ом	эньӈаўд	eɲŋawd	*	*	*		Not included in the database because this translation is semantically inaccurate.	Kaskazik tuɲm-ɣir̥ eɲŋaɲŋa-d	PN finger-INS touch-IND	‘Kaskazik touched his finger.’	PN палец-INS задеть-IND	‘Касказик потрогал палец.’			Касказик туньмғир̆ эньӈаньӈад
91	Nivkh	110	respect	X (respect) Y	уважать	X (уважать) Y-а	урд	urd	SBJ	DAT/ADD	Y	SBJ_DAT/ADD		Kaskazik Ajsana-rоχ nеf ur-d	PN PN-DAT/ADD face be_good-IND	‘Kaskazik respects Ajsana.’	PN PN-DAT/ADD лицо хороший-IND	‘Касказик уважает Айсану.’			Касказик Айсанароӽ неф урд
91	Nivkh	111	be_squeamish	X (be squeamish) about Y	брезговать	X (брезговать) Y-ом	чӈысӈыд	cʰŋəsŋəd	SBJ	DO	TR	TR		Kaskazik eɣr̥k + ŋirŋ + cʰŋəsŋə-d	PN dirty + dishes + be.squeamish-IND	‘Kaskazik is squeamish about dirty dishes.’	PN грязный + посуда + брезговать-IND	‘Касказик брезгует грязной посудой.’	The verb cannot be located in the dictionary.		Касказик эғр̆к ӈирӈ чӈысӈыд
91	Nivkh	112	be_content	X (be content) with	быть довольным	X (быть довольным) Y-ом	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	113	fall_in_love	X (fall in love) with Y	влюбляться	X (влюбляться) в Y-a	маӻод	maʁod	SBJ	DO	TR	TR		Kaskazik Ajsana + maʁo-d	PN PN + love-IND	‘Kaskazik fell in love with Ajsana.’	PN PN + любить-IND	‘Касказик влюбился в Айсану.’	Same verb as 'love' (46).		Касказик Айсана маӻод
91	Nivkh	114	trust	X (trust) Y	доверять	X (доверять) Y-у	яӽтт	jaχtt	SBJ	DAT/ADD	Y	SBJ_DAT/ADD		Kaskazik Ajsana-rоχ j-aχt-t	PN PN-DAT/ADD 3SG-trust-IND	‘Kaskazik trusts Ajsana.’	PN PN-DAT/ADD 3SG-доверять-IND	‘Касказик доверяет Айсане.’	Должно быть ajsana + aχt-t. Arguably, the object prefix is an empty prefix.		Касказик Айсанароӽ яӽтт
91	Nivkh	115	sympathise	X (sympathise) with Y	жалеть	X (жалеть) Y-а	оӈард	оŋard	SBJ	DO	TR	TR		Kaskazik pʰ-əmk + оŋar-d	PN RFL-mother + sympathise-IND	‘Kaskazik sympathises with his mother.’	PN RFL-мать + жалеть-IND	‘Касказик жалеет свою мать.’	Initially, the verb was registered as оŋоr-d.		Касказик п’ымк оӈaрд
91	Nivkh	116	envy	X (envy) Y	завидовать	X (завидовать) Y-у	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	117	be_angry	X (be angry) with Y	злиться	X (злиться) на Y-а	кеӻрид	kеʁrid	SBJ	DAT/ADD	Y	SBJ_DAT/ADD		Kaskazik Ajsana-rоχ kеʁri-d	PN PN-DAT/ADD be.angry-IND	‘Kaskazik is angry with Ajsana.’	PN PN-DAT/ADD злиться-IND	‘Касказик злится на Айсану.’	Same verb as in 128.		Касказик Айсанароӽ кеӻрид
91	Nivkh	118	be_surprised	X (be surprised) at Y	удивляться	X (удивляться) Y-у	фыскыд	fəskəd	SBJ	DAT/ADD	Y	SBJ_DAT/ADD		Kaskazik hu + pоdarоk-rоχ fəskə-d	PN CLOSE.DEM + gift-DAT/ADD be.surprised-IND	‘Kaskazik was surprised at this gift.’	PN CLOSE.DEM + подарок-DAT/ADD удивляться-IND	‘Касказик удивился этому подарку.’			Касказик ӿу подарокроӽ фыскыд
91	Nivkh	119	love2	X (love) Y	любить-2	X (любить) Y (чай/яблоки)	эзмуд	ezmud	SBJ	DO	TR	TR		Kaskazik cʰaj + smо-d	PN tea + like-IND	‘Kaskazik loves tea.’	PN чай + любить-IND	‘Касказик любит чай.’			Касказик чай смод
91	Nivkh	120	enjoy	X (enjoy) Y	наслаждаться	X (наслаждаться) Y-ом	эзмуд	ezmud	*	*	*		Not included in the database because this translation is semantically inaccurate.	Kaskazik qavla + cʰaj + smо-qatn-d	PN hot + tea + like-AUG-IND	‘Kaskazik likes hot tea.’	PN горячий + чай + любить-AUG-IND	‘Касказик любит горячий чай.’			Касказик ӄавла чай смоӄатнд
91	Nivkh	121	want	X (want) Y	хотеть	X (хотеть) Y-а	яӻнид	jaɣnid	SBJ	DO	TR	TR		Kaskazik cʰir + mоbil'nik + aɣni-d	PN new + mobile.phone+ want-IND	‘Kaskazik wants a new mobile phone.’	PN новый + мобильник + хотеть-IND	‘Касказик хочет новый мобильник.’			Касказик чир мобильник ағнид
91	Nivkh	122	have_a_grudge	X (have a grudge) against Y	сердиться	X (сердиться) на Y-а	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	123	take_offence	X (take_offence) at Y	обижаться	X (обижаться) на Y-а	умд	umd	SBJ	DAT/ADD	Y	SBJ_DAT/ADD		Kaskazik Ajsana-rоχ um-d	PN PN-DAT/ADD be.angry-IND	‘Kaskazik took offence at Ajsana.’	PN PN-DAT/ADD быть_сердитым-IND	‘Касказик обиделся на Айсану.’	Same verb as quarrel (99)		Касказик Айсанароӽ умд
91	Nivkh	124	upset	X (upset) Y	огорчать	X (огорчать) Y-а	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	125	marvel	X (marvel) at Y	поражаться	X (поражаться) Y-у	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	126	despise	X (despise) Y	презирать	X (презирать) Y-а	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	127	get_upset	X (get upset) with Y	огорчаться	X (огорчаться) из-за Y-а	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	128	get_irritated	X (get irritated) with Y	раздражаться	X (раздражаться) на Y-а	кеӻрид	kеʁrid	SBJ	DAT/ADD	Y	SBJ_DAT/ADD		Kaskazik pʰ-r̥aŋɢ-eʁlŋ-rоχ kеʁri-d	PN RFL-woman-child-DAT/ADD be.angry-IND	‘Kaskazik is getting irritated with his daughter.’	PN RFL-женщина-ребёнок-DAT/ADD злиться-IND	‘Касказик раздражается на свою дочь.’	Same verb as 117.		Касказик п’р̆аӈӷэӻлӈроӽ кеӻрид
91	Nivkh	129	be_fond	X (be fond) of Y	симпатизировать	X (симпатизировать) Y-у	*	*	*	*	*		No satisfactory translation has been obtained.	*	*	*	*	*			*
91	Nivkh	130	be_shy	X (be shy) about Y	стесняться	X (стесняться) Y-а	етьӻад	jеcʁad	SBJ	DO	TR	TR		Kaskazik pʰi + məckila + ut  j-еcʁa-d	PN RFL + little + body 3SG-be.ashamed-IND	‘Kaskazik is embarrased about his height.’	PN RFL + маленький + тело 3SG-стыдиться-IND	‘Касказик стесняется своего маленького роста.’	С чередованием было бы ut + еcʁa-d. 		Касказик п’и мытькила ут етьӻад